,full_name,link,description,stars,forks,watchers,keywords,source
927,CookieBar,https://github.com/liuguangqiang/CookieBar.git,CookieBar is a lightweight library for showing a brief message at the top or bottom of the screen.,497,55,497,messaging+android+cookie+toast+snackbar+ui+animation,GitHub
928,tweetnest,https://github.com/graulund/tweetnest.git,"NO LONGER MAINTAINED. MESSAGE ME IF YOU WANT TO MAINTAIN THIS. :) A browsable, searchable and easily customizable  archive and backup for your tweets",497,90,497,messaging,GitHub
929,profanity-pgp,https://github.com/mapmeld/profanity-pgp.git,Make PGP messages and signatures more interesting,491,19,491,messaging,GitHub
930,git-journal,https://github.com/saschagrunert/git-journal.git,The Git Commit Message and Changelog Generation Framework :book:,480,10,480,messaging+git-journal+journal+git+commit-conventions,GitHub
931,DiscordPHP,https://github.com/discord-php/DiscordPHP.git,An API to interact with the popular messaging app Discord,479,170,479,messaging+php+discord+team-reflex,GitHub
932,ruby-mqtt,https://github.com/njh/ruby-mqtt.git,"Pure Ruby gem that implements the MQTT protocol, a lightweight protocol for publish/subscribe messaging.",471,120,471,messaging+ruby+mqtt+rubygems,GitHub
933,codeigniter3-translations,https://github.com/bcit-ci/codeigniter3-translations.git,Translations of the CodeIgniter system messages,470,457,470,messaging,GitHub
934,redismq,https://github.com/adjust/redismq.git,"a durable message queue system for go based on redis, see also https://github.com/adjust/rmq",470,74,470,messaging,GitHub
935,fit-commit,https://github.com/m1foley/fit-commit.git,A Git hook to validate your commit messages based on community standards.,468,20,468,messaging+git-hooks+git+commit-message+git-addons+ruby,GitHub
936,MessagePipe,https://github.com/Cysharp/MessagePipe.git,High performance in-memory/distributed messaging pipeline for .NET and Unity.,467,21,467,messaging,GitHub
937,Laravel-JS-Localization,https://github.com/rmariuzzo/Laravel-JS-Localization.git,🌐 Convert your Laravel messages and consume them in the front-end!,467,137,467,messaging+php+javascript+localization+i18n+l10n+internationalization+laravel+laravel-package+laravel-5-package+laravel-4-package,GitHub
938,starling,https://github.com/starling/starling.git,Starling Message Queue - please contribute if you want commit access,466,64,466,messaging,GitHub
939,Twitch-Chat-Downloader,https://github.com/PetterKraabol/Twitch-Chat-Downloader.git,Download chat messages from past broadcasts on Twitch,465,55,465,messaging+broadcast+twitch+chat,GitHub
940,wsify,https://github.com/alash3al/wsify.git,"Just a tiny, simple and real-time self-hosted pub/sub messaging service",462,38,462,messaging+golang+go+redis-channel+websockets+backend+realtime+realtime-messaging+pusher+pubsub+tiny+pub+websocket-service+webhook+topic,GitHub
941,capillary,https://github.com/google/capillary.git,Capillary is a library to simplify the sending of end-to-end encrypted push messages from Java-based application servers to Android clients.,457,41,457,messaging+cryptography+crypto+android+java+end-to-end-encryption+privacy+security,GitHub
942,otr,https://github.com/arlolra/otr.git,Off-the-Record Messaging Protocol implemented in JavaScript,456,61,456,messaging,GitHub
943,python-gcm,https://github.com/geeknam/python-gcm.git,Python client for Google Cloud Messaging for Android (GCM),454,156,454,messaging+python+google+push-notifications,GitHub
944,git-semantic-commits,https://github.com/fteem/git-semantic-commits.git,Tiny semantic commit messages for Git.,451,38,451,messaging+git+shell+commits+tool,GitHub
945,docopt.rb,https://github.com/docopt/docopt.rb.git,Parse command line arguments from nothing more than a usage message,449,37,449,messaging,GitHub
946,AndroidIM,https://github.com/Pirngruber/AndroidIM.git,Android Instant Messaging Application,446,365,446,messaging,GitHub
947,native-client,https://github.com/andy-portmen/native-client.git,"Native Messaging component for Windows, Linux, and Mac OS that is written in NodeJS.",446,394,446,messaging+vlc-media-player+manifest-files+gimp+gimp-photo-editor+linux+windows+media-converter+firefox-addon+chrome-extension+opera-addon,GitHub
948,SMSNinja,https://github.com/iosre/SMSNinja.git,"SMSNinja is a lightweight but highly efficient firewall for blocking and hiding SMS, MMS, iMessages, phone calls and FaceTime on stock Phone and Message Apps.",442,109,442,messaging,GitHub
949,gitlint,https://github.com/jorisroovers/gitlint.git,Linting for your git commit messages,441,71,441,messaging+python+git+git-addons+linter+linting+lint+gitlint,GitHub
950,faye-rails,https://github.com/jimsynz/faye-rails.git,Simple Rails glue for the Faye messaging protocol.,440,83,440,messaging,GitHub
951,service-bus,https://github.com/prooph/service-bus.git,PHP Lightweight Message Bus supporting CQRS. ,437,58,437,messaging+service-bus+php+prooph+cqrs+messaging,GitHub
952,pipecat,https://github.com/lukasmartinelli/pipecat.git,Connect UNIX pipes and message queues,434,11,434,messaging,GitHub
953,wrong,https://github.com/sconover/wrong.git,Wrong provides a general assert method that takes a predicate block.  Assertion failure messages are rich in detail.,434,31,434,messaging,GitHub
954,line-bot-sdk-ruby,https://github.com/line/line-bot-sdk-ruby.git,LINE Messaging API SDK for Ruby,432,107,432,messaging+line+bot+sdk+ruby,GitHub
955,sysend.js,https://github.com/jcubic/sysend.js.git,Send messages between open pages or tabs in same browser,432,46,432,messaging+callback+notifications+events+browser+tabs+javascript+proxy+messages+pubsub,GitHub
956,SendMIDI,https://github.com/gbevin/SendMIDI.git,Multi-platform command-line tool to send out MIDI messages,431,34,431,messaging+midi+command-line+midi-messages+command-line-tool,GitHub
957,fcm,https://github.com/decision-labs/fcm.git,"Ruby bindings to Firebase Cloud Messaging (FCM) for Android, iOS or Web",429,106,429,messaging+firebase-cloud-messaging+fcm+ruby,GitHub
958,dbus-broker,https://github.com/bus1/dbus-broker.git,Linux D-Bus Message Broker,429,52,429,messaging+d-bus+linux+ipc+c+system+message-broker,GitHub
959,smbj,https://github.com/hierynomus/smbj.git,"Server Message Block (SMB2, SMB3) implementation in Java",429,119,429,messaging,GitHub
960,Nebula,https://github.com/Bwar/Nebula.git,"Nebula is a powerful framwork for building highly concurrent, distributed, and resilient message-driven applications for C++.",428,123,428,messaging+nebula+libev+protobuf+websockets+cluster+high-performance+distributed-systems+distributed,GitHub
961,babel-plugin-react-intl,https://github.com/formatjs/babel-plugin-react-intl.git,Extracts string messages from React components that use React Intl.,427,127,427,messaging+babel-plugin+react-intl+i18n+internationalization,GitHub
962,github-trello,https://github.com/zanker/github-trello.git,Manage Trello cards through Github commit messages,426,66,426,messaging,GitHub
963,Messer,https://github.com/mjkaufer/Messer.git,:speech_balloon: Command-line messaging for Facebook Messenger,425,74,425,messaging+facebook+facebook-messenger+facebook-chat+javascript,GitHub
964,react-native-toast-message,https://github.com/calintamas/react-native-toast-message.git,Animated toast message component that can be called imperatively,424,90,424,messaging+react-native+toast,GitHub
965,protolock,https://github.com/nilslice/protolock.git,Protocol Buffer companion tool. Track your .proto files and prevent changes to messages and services which impact API compatibility.,420,24,420,messaging+protocol-buffers+protoc+protobuf+tools+productivity+cli+golang+proto-files,GitHub
966,promise-worker,https://github.com/nolanlawson/promise-worker.git,Promise-based messaging for Web Workers and Service Workers,419,40,419,messaging,GitHub
967,blastula,https://github.com/rstudio/blastula.git,Easily send great-looking HTML email messages from R,419,62,419,messaging+r+email+markdown+responsive-email+easy-to-use+smtp+html,GitHub
968,pingme,https://github.com/kha7iq/pingme.git,PingMe is a CLI tool which provides the ability to send messages or alerts to multiple messaging platforms & email.,418,31,418,messaging+pingme+slack+telegram+email+rocketchat+microsoft-teams+discord+cli+alert+messaging+pushover+mattermost+twillio+mastodon+pushbullet+line+wechat+gotify,GitHub
969,wamp-proto,https://github.com/wamp-proto/wamp-proto.git,The Web Application Messaging Protocol,417,91,417,messaging+wamp+protocol+publish-subscribe+remote-procedure-calls+websocket+wamp-spec+ietf-standard,GitHub
970,cipherhub,https://github.com/substack/cipherhub.git,encrypt messages based on ssh public keys with easy import from github,417,21,417,messaging,GitHub
971,dialog-web-components,https://github.com/dialogs/dialog-web-components.git,Set of react components for building messaging applications,415,52,415,messaging+react+components,GitHub
972,queue-interop,https://github.com/queue-interop/queue-interop.git,Promoting the interoperability of message queue objects.,415,19,415,messaging+queue+interoperability+specification+php,GitHub
