,full_name,link,description,stars,forks,watchers,keywords,source
32,airline-flight-delay,https://github.com/SIZMW/airline-flight-delay.git,"D3 visualization of airline flight delay by airline company, airport, and month of year.",2,1,2,airline+flight+d3+airline+python2+arrival+airport+visualization+flight,GitHub
33,aegeanair-scraper,https://github.com/projectivemotion/aegeanair-scraper.git,Airfare and Flight Information Scraper for Aegean Airlines,2,0,2,airline+flight,GitHub
34,Yoda-Airlines-DBMS-Project,https://github.com/ezgibsahin/Yoda-Airlines-DBMS-Project.git,Designing and implementing a DBMS for a real data of an Airline Reservation System that users can book their flights online for their travels.,2,2,2,airline+flight+dbms-project+dbms+dbms-homework+sql+airline-reservation,GitHub
35,FlightsReservationApp,https://github.com/DarJasper/FlightsReservationApp.git,Xamarin App to reserve airline flights. Made for Smart App Dev class @ MCT Howest,2,0,2,airline+flight,GitHub
36,plotting-airline-routes,https://github.com/rogueqd/plotting-airline-routes.git,Plot airline routes to all destinations within two flights of specified airport.,2,0,2,airline+flight,GitHub
37,FlightDelayML,https://github.com/anaurora/FlightDelayML.git,"Predicting the arrival delay (in minutes) of flights based on various parameters such as the airline, airport etc.",2,0,2,airline+flight,GitHub
38,genetic-algorithm-flight-planning,https://github.com/alitoufighi/genetic-algorithm-flight-planning.git,This is our second project for Artificial Intelligence course. Finding best flight planning for an airline using Genetic Algorithm,2,0,2,airline+flight,GitHub
39,Data-analysis-Tableau,https://github.com/jasmeetji/Data-analysis-Tableau.git,"The purpose of this project is to visualize the airlines data which represents the cancellation of flights, frequency of usage of airlines and various other related data, the details of which have been underlined here.",2,0,2,airline+flight,GitHub
40,airline-ranking,https://github.com/aruntom/airline-ranking.git,This is a brief Insights on causes of flight delay based on Viz and implementation of Airline carrier ranking system based on data of flights to and from Texas ( Bureau of Transportation ) during Jan 2017. Using PandaSQL ( SQL+ Python),2,1,2,airline+flight+flight-delays+arrival-delay+airline+carrier+carrier-delay+ranking+aircraft+departure+taxi+airline-ranking+insights+flight+transportation+texas+bureau+python+python-script+pandas+pandas-dataframe+pandasql,GitHub
41,AirlineManagementSystem,https://github.com/sunnyreddy/AirlineManagementSystem.git,Java application built using java swing UI to manage airlines and their schedules. It also provides interface to travel agencies to view and book flights for their customers.,2,0,2,airline+flight,GitHub
42,AirOnTime,https://github.com/ambersahdev/AirOnTime.git,A web app that predicts airline delays and reduces the probability of its user picking a flight that is likely to get delayed.,2,0,2,airline+flight,GitHub
43,Airline-Reservation-System,https://github.com/nasykt/Airline-Reservation-System.git,"web application for airline reservation. By selecting your departure place, destination place and date to travel it shows flight details and price details",2,0,2,airline+flight,GitHub
44,Airlines-application,https://github.com/Anjali-rani/Airlines-application.git,This is airlines project on Django. This will simply book a flight for the person who are added in the database.This is very simple and basic trial of Django framework.,2,0,2,airline+flight,GitHub
45,airline-ticket-reservation-system,https://github.com/harryroshan/airline-ticket-reservation-system.git,"A simple airline ticket reservation system in which customers can register an account, search for flights, book tickets, cancel tickets, view booked tickets history along with a few administrator functions.",2,1,2,airline+flight+html+css+php+mysql,GitHub
46,Airlines_Reservation_System,https://github.com/JackFrostDJ/Airlines_Reservation_System.git,"In the modern world, airlines are just another means of travel. We book flights, make the journey, enjoy our time and return home. But the core proceedings of the process are often neglected. The flight booking step itself contains a lot of hidden checkpoints. This project, “Airlines Booking System” aims to highlight the end to end workings of this process and to display the complexity of the system. This knowledge when imbued in individuals, will give them appreciation as well as understanding of the workings of simple commonplace things that are usually taken for granted.",2,2,2,airline+flight+airlines-reservation+book-flights+uat+dosbox,GitHub
47,Spirit-Airlines-Database,https://github.com/alan-xiao/Spirit-Airlines-Database.git,"An interactive database based off data from Spirit Airlines. There are 2 users: the customer and the DBA. The customer can view flights and purchase tickets, while the DBA has full control: they can perform CRUD operations as well as visualize the data in insightful ways.",2,0,2,airline+flight,GitHub
48,EFBv,https://github.com/henriquesirot/EFBv.git,"The EFBv is a realistic Electronic Flight Bag simulator, based on the Embraer model used in the E190/195 models. The software is aimed at aviation enthusiasts and virtual airline pilots, with toolsets to prepare and set up aircrafts, calculate performance, obtain weather and airport information and aeronautical charts from the official Brazilian bureau.",2,0,2,airline+flight+aviation+flight+simulator+embraer+ejets+aircraft+airplane,GitHub
49,Airline-Pricing-,https://github.com/ankitkash101/Airline-Pricing-.git,The data set with which we are working over here is a classification data set. It is used to classify between economy prices and premium prices of tickets in a flight. The following data set has data available corresponding to different Airlines and several other parameters.,2,0,2,airline+flight,GitHub
50,Airlinereservationsystem,https://github.com/shyammishra/Airlinereservationsystem.git,"This is a Java Desktop Application which is developed in Netbeans. This project provides a reservation system designed for the employees of Airlines, which enables them to perform various tasks like adding a customer into the database, modifying the flight details, reserving a ticket etc...",2,0,2,airline+flight,GitHub
51,CheapGetaways,https://github.com/weilu/CheapGetaways.git,"The idea came from our Thailand trip: we'd like to go on a weekend trip whenever the flight ticket is under 100SGD. Any weekend will do. So this project is to find the cheapest deal from various budget airline websites given the desired days of the week, the flexible range of dates that those days could fall in, the from and to, and the number of travellers.",2,0,2,airline+flight,GitHub
